Instancia 0;Instancia 1;Instancia 2;Region;Localidad;Extremo A;Pta A;Descripcion;Extremo B;Pta B;Capacidad;Tasa Semanal;Medida;Direccion
INTERNET;CACHE-CONTENIDO;AKAMAI;13;Fanor;BBI-FNR1;TenGigE0/2/0/10';LINK_ISP_493, BW 10000, CORE-ISP-CACHE: CONEXION 3 AKAMAI-CACHE-FNR;AKAMAI-CACHE-FNR;GiX/X';10000;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;AKAMAI;13;Fanor;BBI-FNR1;TenGigE0/2/0/11';LINK_ISP_493, BW 10000, CORE-ISP-CACHE: CONEXION 4 AKAMAI-CACHE-FNR;AKAMAI-CACHE-FNR;GiX/X';10000;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;AKAMAI;13;Fanor;BBI-FNR1;TenGigE0/2/0/12';LINK_ISP_493, BW 10000, CORE-ISP-CACHE: CONEXION 5 AKAMAI-CACHE-FNR;AKAMAI-CACHE-FNR;GiX/X';10000;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;AKAMAI;13;Fanor;BBI-FNR1;TenGigE0/2/0/13';LINK_ISP_493, BW 10000, CORE-ISP-CACHE: CONEXION 6 AKAMAI-CACHE-FNR;AKAMAI-CACHE-FNR;GiX/X';10000;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;AKAMAI;13;Fanor;BBI-FNR1;'TenGigE0/4/0/1';LINK_ISP_493, BW 10000, CORE-ISP-CACHE: CONEXION 1 AKAMAI-CACHE-FNR;AKAMAI-CACHE-FNR;GiX/X';10000;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;AKAMAI;13;Fanor;BBI-FNR1;'TenGigE0/7/0/6';LINK_ISP_493, BW 10000, CORE-ISP-CACHE: CONEXION 2 AKAMAI-CACHE-FNR;AKAMAI-CACHE-FNR;GiX/X';10000;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;AKAMAI;13;El Salto;BBI-SLT1;TenGigE0/1/0/12';LINK_ISP_493, BW 10000, CORE-ISP-CACHE: CONEXION 3 AKAMAI-CACHE-SLT;AKAMAI-CACHE-SLT;GiX/X';10000;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;AKAMAI;13;El Salto;BBI-SLT1;'TenGigE0/1/0/5';LINK_ISP_493, BW 10000, CORE-ISP-CACHE: CONEXION 1 AKAMAI-CACHE-SLT;AKAMAI-CACHE-SLT;GiX/X';10000;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;AKAMAI;13;El Salto;BBI-SLT1;TenGigE0/3/0/11';LINK_ISP_493, BW 10000, CORE-ISP-CACHE: CONEXION 4 AKAMAI-CACHE-SLT;AKAMAI-CACHE-SLT;GiX/X';10000;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;AKAMAI;13;El Salto;BBI-SLT1;TenGigE0/3/0/12';LINK_ISP_493, BW 10000, CORE-ISP-CACHE: CONEXION 5 AKAMAI-CACHE-SLT;AKAMAI-CACHE-SLT;GiX/X';10000;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;AKAMAI;13;El Salto;BBI-SLT1;'TenGigE0/4/0/1';LINK_ISP_493, BW 10000, CORE-ISP-CACHE: CONEXION 1 AKAMAI-CACHE-SLT;AKAMAI-CACHE-SLT;GiX/X';10000;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;AKAMAI;13;El Salto;BBI-SLT1;TenGigE0/7/0/0';LINK_ISP_493, BW 10000, CORE-ISP-CACHE: CONEXION 6 AKAMAI-CACHE-SLT;AKAMAI-CACHE-SLT;GiX/X';10000;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;AKAMAI;13;El Salto;BBI-SLT1;'TenGigE0/7/0/6';LINK_ISP_493, BW 10000, CORE-ISP-CACHE: CONEXION 2 AKAMAI-CACHE-SLT;AKAMAI-CACHE-SLT;GiX/X';10000;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;AKAMAI;13;El Salto;BBI-SLT2;GigabitEthernet8/1/18;LINK_ISP_493, BW 10000, CORE-ISP-CACHE: CONEXION 1 AKAMAI-CACHE-SLT;AKAMAI-CACHE-PAL;GiX/X';10000;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;AKAMAI;13;El Salto;BBI-SLT2;GigabitEthernet8/1/19;LINK_ISP_493, BW 10000, CORE-ISP-CACHE: CONEXION 2 AKAMAI-CACHE-SLT;AKAMAI-CACHE-PAL;GiX/X';10000;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;AKAMAI;13;El Salto;BBI-SLT2;GigabitEthernet8/1/20;LINK_ISP_493, BW 10000, CORE-ISP-CACHE: CONEXION 3 AKAMAI-CACHE-SLT;AKAMAI-CACHE-PAL;GiX/X';10000;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;AKAMAI;13;El Salto;BBI-SLT2;GigabitEthernet8/1/21;LINK_ISP_493, BW 10000, CORE-ISP-CACHE: CONEXION 4 AKAMAI-CACHE-SLT;AKAMAI-CACHE-PAL;GiX/X';10000;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;AKAMAI;13;El Salto;BBI-SLT2;GigabitEthernet8/1/22;LINK_ISP_493, BW 10000, CORE-ISP-CACHE: CONEXION 5 AKAMAI-CACHE-SLT;AKAMAI-CACHE-PAL;GiX/X';10000;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;AKAMAI;13;El Salto;BBI-SLT2;GigabitEthernet8/1/23;LINK_ISP_493, BW 10000, CORE-ISP-CACHE: CONEXION 6 AKAMAI-CACHE-SLT;AKAMAI-CACHE-PAL;GiX/X';10000;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;AKAMAI;8;Concepcion;SW-CACHE-CCP;Ethernet1/25;LINK_ISP_490 CACHE: CDN AKAMAI HPC-1;AKAMAI-CACHE-CCP;GiX/X';0;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;AKAMAI;8;Concepcion;SW-CACHE-CCP;Ethernet1/26;LINK_ISP_490 CACHE: CDN AKAMAI HPC-2;AKAMAI-CACHE-CCP;GiX/X';0;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;AKAMAI;13;La Cisterna;SW-CACHE-LCI;Ethernet1/25';LINK_ISP_490 CACHE: CDN AKAMAI HPC-1;AKAMAI-CACHE-LCI;GiX/X';0;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;AKAMAI;13;La Cisterna;SW-CACHE-LCI;Ethernet1/26';LINK_ISP_490 CACHE: CDN AKAMAI HPC-2;AKAMAI-CACHE-LCI;GiX/X';0;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;AKAMAI;13;Puente Alto;SW-CACHE-PAL;Ethernet1/25';LINK_ISP_490 CACHE: CDN AKAMAI HPC-1;AKAMAI-CACHE-PAL;GiX/X';0;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;AKAMAI;13;Puente Alto;SW-CACHE-PAL;Ethernet1/26';LINK_ISP_490 CACHE: CDN AKAMAI HPC-2;AKAMAI-CACHE-PAL;GiX/X';0;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;AKAMAI;13;Quilicura;SW-CACHE-QUI;Ethernet1/25;LINK_ISP_490 CACHE: CDN AKAMAI HPC-1;AKAMAI-CACHE-QUI;GiX/X';0;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;AKAMAI;13;Quilicura;SW-CACHE-QUI;Ethernet1/26;LINK_ISP_490 CACHE: CDN AKAMAI HPC-2;AKAMAI-CACHE-QUI;GiX/X';0;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;AKAMAI;5;Vina del Mar;SW-CACHE-VDM;Ethernet1/25;LINK_ISP_490 CACHE: CDN AKAMAI HPC-1;AKAMAI-CACHE-VDM;GiX/X';0;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;AKAMAI;5;Vina del Mar;SW-CACHE-VDM;Ethernet1/26;LINK_ISP_490 CACHE: CDN AKAMAI HPC-2;AKAMAI-CACHE-VDM;GiX/X';0;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;FACEBOOK;13;Fanor;FNR-HPE3;'TenGigE0/2/1/0';LINK_ISP_491, BW 10000, CORE-ISP-CACHE: CONEXION 5 FACEBOOK-CACH;FACEBOOK-CACHE-FNR;GiX/X';10000;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;FACEBOOK;13;Fanor;FNR-HPE3;'TenGigE0/2/4/0';LINK_ISP_491, BW 10000, CORE-ISP-CACHE: CONEXION 6 FACEBOOK-CACH;FACEBOOK-CACHE-FNR;GiX/X';10000;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;FACEBOOK;13;Fanor;FNR-HPE3;'TenGigE0/4/0/11';LINK_ISP_491, BW 10000, CORE-ISP-CACHE: CONEXION 3 FACEBOOK-CACH;FACEBOOK-CACHE-FNR;GiX/X';10000;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;FACEBOOK;13;Fanor;FNR-HPE3;'TenGigE0/4/0/12';LINK_ISP_491, BW 10000, CORE-ISP-CACHE: CONEXION 4 FACEBOOK-CACH;FACEBOOK-CACHE-FNR;GiX/X';10000;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;FACEBOOK;13;Fanor;FNR-HPE3;'TenGigE0/4/0/8';LINK_ISP_491, BW 10000, CORE-ISP-CACHE: CONEXION 1 FACEBOOK-CACH;FACEBOOK-CACHE-FNR;GiX/X';10000;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;FACEBOOK;13;Fanor;FNR-HPE3;'TenGigE0/4/0/9';LINK_ISP_491, BW 10000, CORE-ISP-CACHE: CONEXION 2 FACEBOOK-CACH;FACEBOOK-CACHE-FNR;GiX/X';10000;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;FACEBOOK;13;Fanor;FNR-HPE6;GigabitEthernet3/0/1';LINK_ISP_491, BW 10000, CORE-ISP-CACHE: CONEXION 9 FACEBOOK-CACHE-FNR Q6;FACEBOOK-CACHE-FNR;GiX/X';10000;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;FACEBOOK;13;Fanor;FNR-HPE6;GigabitEthernet3/0/2'; LINK_ISP_491, BW 10000, CORE-ISP-CACHE: CONEXION 10 FACEBOOK-CACHE-FNR Q7;FACEBOOK-CACHE-FNR;GiX/X';10000;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;FACEBOOK;13;Fanor;FNR-HPE6;'GigabitEthernet7/0/3';LINK_ISP_491, BW 10000, CORE-ISP-CACHE: CONEXION 1 FACEBOOK-CACHE-FNR;FACEBOOK-CACHE-FNR;GiX/X';10000;0.05;BW_Mbps;inbound
INTERNET;CACHE-CONTENIDO;FACEBOOK;13;Fanor;FNR-HPE6;'GigabitEthernet7/0/4';LINK_ISP_491, BW 10000, CORE-ISP-CACHE: CONEXION 2 FACEBOOK-CACHE-FNR;FACEBOOK-CACHE-FNR;GiX/X';10000;0.05;BW_Mbps;inbound
